"","Barcode","Head","Tail","Soap","FusionScan","Prada"
"1","TCGA-AB-2806-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"2","TCGA-AB-2814-03A","HNRNPH1","ERG","Soapfuse","Fusionscan","pyPRADA"
"3","TCGA-AB-2819-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"4","TCGA-AB-2840-03A","RARA","PML","Soapfuse","Fusionscan","pyPRADA"
"5","TCGA-AB-2849-03A","MLLT10","PICALM","Soapfuse","Fusionscan","pyPRADA"
"6","TCGA-AB-2849-03A","PICALM","MLLT10","Soapfuse","Fusionscan","pyPRADA"
"7","TCGA-AB-2856-03A","NSD1","NUP98","Soapfuse","Fusionscan","pyPRADA"
"8","TCGA-AB-2858-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"9","TCGA-AB-2875-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"10","TCGA-AB-2886-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"11","TCGA-AB-2904-03A","DNMT3B","MDM4","Soapfuse","Fusionscan","pyPRADA"
"12","TCGA-AB-2915-03A","RUNX1","MECOM","Soapfuse","Fusionscan","pyPRADA"
"13","TCGA-AB-2915-03A","DPM1","GRID1","Soapfuse","Fusionscan","pyPRADA"
"14","TCGA-AB-2930-03A","NSD1","NUP98","Soapfuse","Fusionscan","pyPRADA"
"15","TCGA-AB-2937-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"16","TCGA-AB-2939-03A","CDC73","FAM172A","Soapfuse","Fusionscan","pyPRADA"
"17","TCGA-AB-2939-03A","CHD1","MTOR","Soapfuse","Fusionscan","pyPRADA"
"18","TCGA-AB-2941-03A","ABL1","BCR","Soapfuse","Fusionscan","pyPRADA"
"19","TCGA-AB-2950-03A","RUNX1","RUNX1T1","Soapfuse","Fusionscan","pyPRADA"
"20","TCGA-AB-2982-03B","PML","RARA","Soapfuse","Fusionscan","pyPRADA"
"21","TCGA-AB-2991-03A","PML","RARA","Soapfuse","Fusionscan","pyPRADA"
"22","TCGA-AB-2994-03A","RARA","PML","Soapfuse","Fusionscan","pyPRADA"
"23","TCGA-AB-3001-03A","RARA","PML","Soapfuse","Fusionscan","pyPRADA"
"24","TCGA-AB-3007-03A","PML","RARA","Soapfuse","Fusionscan","pyPRADA"
"25","TCGA-AB-3012-03A","RARA","PML","Soapfuse","Fusionscan","pyPRADA"
"26","TCGA-AB-2817-03A","BCR","ABL1","Soapfuse","Fusionscan",NA
"27","TCGA-AB-2901-03A","BCR","ABL1","Soapfuse","Fusionscan",NA
"28","TCGA-AB-2938-03A","POLR2A","FBN3","Soapfuse","Fusionscan",NA
"29","TCGA-AB-2939-03A","BZW2","GUSB","Soapfuse","Fusionscan",NA
"30","TCGA-AB-2941-03A","BCR","ABL1","Soapfuse","Fusionscan",NA
"31","TCGA-AB-2828-03A","CBFB","MYH11","Soapfuse","Fusionscan",NA
"32","TCGA-AB-2846-03A","CBFB","MYH11","Soapfuse","Fusionscan",NA
"33","TCGA-AB-2870-03A","CBFB","MYH11","Soapfuse","Fusionscan",NA
"34","TCGA-AB-2881-03A","CBFB","MYH11","Soapfuse","Fusionscan",NA
"35","TCGA-AB-2889-03A","CBFB","MYH11","Soapfuse","Fusionscan",NA
"36","TCGA-AB-2918-03A","TFG","GPR128","Soapfuse","Fusionscan",NA
"37","TCGA-AB-2935-03A","NUCB1","RUVBL2","Soapfuse","Fusionscan",NA
"38","TCGA-AB-2942-03A","CBFB","MYH11","Soapfuse","Fusionscan",NA
"39","TCGA-AB-2803-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"40","TCGA-AB-2817-03A","ABL1","BCR","Soapfuse",NA,"pyPRADA"
"41","TCGA-AB-2823-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"42","TCGA-AB-2823-03A","RARA","PML","Soapfuse",NA,"pyPRADA"
"43","TCGA-AB-2832-03A","MLL","MLLT10","Soapfuse",NA,"pyPRADA"
"44","TCGA-AB-2832-03A","SIK3","C11orf1","Soapfuse",NA,"pyPRADA"
"45","TCGA-AB-2834-03A","MLL","ELL","Soapfuse",NA,"pyPRADA"
"46","TCGA-AB-2840-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"47","TCGA-AB-2842-03A","MLL","MLLT10","Soapfuse",NA,"pyPRADA"
"48","TCGA-AB-2844-03A","MLL","ELL","Soapfuse",NA,"pyPRADA"
"49","TCGA-AB-2848-03A","NCOR2","SCARB1","Soapfuse",NA,"pyPRADA"
"50","TCGA-AB-2855-03A","MLLT10","PICALM","Soapfuse",NA,"pyPRADA"
"51","TCGA-AB-2855-03A","PICALM","MLLT10","Soapfuse",NA,"pyPRADA"
"52","TCGA-AB-2857-03A","DDX20","TBX15","Soapfuse",NA,"pyPRADA"
"53","TCGA-AB-2857-03A","PRMT1","TLE6","Soapfuse",NA,"pyPRADA"
"54","TCGA-AB-2857-03A","WDR18","H2AFX","Soapfuse",NA,"pyPRADA"
"55","TCGA-AB-2862-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"56","TCGA-AB-2872-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"57","TCGA-AB-2897-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"58","TCGA-AB-2901-03A","ABL1","BCR","Soapfuse",NA,"pyPRADA"
"59","TCGA-AB-2911-03A","MLL","ELL","Soapfuse",NA,"pyPRADA"
"60","TCGA-AB-2930-03A","NUP98","NSD1","Soapfuse",NA,"pyPRADA"
"61","TCGA-AB-2931-03A","LTBP1","BIRC6","Soapfuse",NA,"pyPRADA"
"62","TCGA-AB-2938-03A","ZBTB7A","TNK1","Soapfuse",NA,"pyPRADA"
"63","TCGA-AB-2941-03A","DOCK6","CCDC130","Soapfuse",NA,"pyPRADA"
"64","TCGA-AB-2944-03A","MECOM","RPN1","Soapfuse",NA,"pyPRADA"
"65","TCGA-AB-2980-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"66","TCGA-AB-2980-03A","RARA","PML","Soapfuse",NA,"pyPRADA"
"67","TCGA-AB-2985-03A","MLL","MLLT10","Soapfuse",NA,"pyPRADA"
"68","TCGA-AB-2991-03A","RARA","PML","Soapfuse",NA,"pyPRADA"
"69","TCGA-AB-2994-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"70","TCGA-AB-2998-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"71","TCGA-AB-2998-03A","RARA","PML","Soapfuse",NA,"pyPRADA"
"72","TCGA-AB-2999-03B","PML","RARA","Soapfuse",NA,"pyPRADA"
"73","TCGA-AB-3001-03A","PML","RARA","Soapfuse",NA,"pyPRADA"
"74","TCGA-AB-3005-03A","MLL","MLLT10","Soapfuse",NA,"pyPRADA"
"75","TCGA-AB-3007-03A","RARA","PML","Soapfuse",NA,"pyPRADA"
"76","TCGA-AB-2803-03A","ELANE","PRTN3","Soapfuse",NA,NA
"77","TCGA-AB-2803-03A","ELANE","NEDD9","Soapfuse",NA,NA
"78","TCGA-AB-2803-03A","ELANE","RN28S1","Soapfuse",NA,NA
"79","TCGA-AB-2803-03A","FTL","ZNF302","Soapfuse",NA,NA
"80","TCGA-AB-2803-03A","HSP90B1","ARHGDIB","Soapfuse",NA,NA
"81","TCGA-AB-2803-03A","RPS6","ZNF302","Soapfuse",NA,NA
"82","TCGA-AB-2803-03A","SRGN","RN28S1","Soapfuse",NA,NA
"83","TCGA-AB-2803-03A","SRGN","RPS2","Soapfuse",NA,NA
"84","TCGA-AB-2803-03A","SRGN","SNHG5","Soapfuse",NA,NA
"85","TCGA-AB-2803-03A","ADRBK1","RN28S1","Soapfuse",NA,NA
"86","TCGA-AB-2803-03A","B2M","SRGN","Soapfuse",NA,NA
"87","TCGA-AB-2803-03A","CALR","GDF7","Soapfuse",NA,NA
"88","TCGA-AB-2803-03A","COX4I1","FAM184B","Soapfuse",NA,NA
"89","TCGA-AB-2803-03A","CST3","EFCAB6","Soapfuse",NA,NA
"90","TCGA-AB-2803-03A","CTBS","GNG5","Soapfuse",NA,NA
"91","TCGA-AB-2803-03A","CTSLL2","BMS1P6","Soapfuse",NA,NA
"92","TCGA-AB-2803-03A","FBL","NEGR1","Soapfuse",NA,NA
"93","TCGA-AB-2803-03A","FUT4","PIWIL4","Soapfuse",NA,NA
"94","TCGA-AB-2803-03A","GALT","IL11RA","Soapfuse",NA,NA
"95","TCGA-AB-2803-03A","GAPDH","FAM184B","Soapfuse",NA,NA
"96","TCGA-AB-2803-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"97","TCGA-AB-2803-03A","NOP58","PTMA","Soapfuse",NA,NA
"98","TCGA-AB-2803-03A","RPL14","SRGN","Soapfuse",NA,NA
"99","TCGA-AB-2803-03A","RPL19","SRGN","Soapfuse",NA,NA
"100","TCGA-AB-2803-03A","RPL23","CCAR1","Soapfuse",NA,NA
"101","TCGA-AB-2803-03A","RPL30","NT5C2","Soapfuse",NA,NA
"102","TCGA-AB-2803-03A","RPL34","ZNF302","Soapfuse",NA,NA
"103","TCGA-AB-2803-03A","RPL37","RN28S1","Soapfuse",NA,NA
"104","TCGA-AB-2803-03A","RPL4","OAZ1","Soapfuse",NA,NA
"105","TCGA-AB-2803-03A","RPS3","SRGN","Soapfuse",NA,NA
"106","TCGA-AB-2803-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"107","TCGA-AB-2803-03A","TPM4","KLF2","Soapfuse",NA,NA
"108","TCGA-AB-2803-03A","TPT1","SRGN","Soapfuse",NA,NA
"109","TCGA-AB-2803-03A","TPT1","HSPA4","Soapfuse",NA,NA
"110","TCGA-AB-2803-03A","TPT1","MT-ATP8","Soapfuse",NA,NA
"111","TCGA-AB-2803-03A","TPT1","NFATC3","Soapfuse",NA,NA
"112","TCGA-AB-2803-03A","TPT1","STAB1","Soapfuse",NA,NA
"113","TCGA-AB-2803-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"114","TCGA-AB-2806-03A","ACCS","EXT2","Soapfuse",NA,NA
"115","TCGA-AB-2806-03A","ADSL","SGSM3","Soapfuse",NA,NA
"116","TCGA-AB-2806-03A","ARMCX4","ARMCX1","Soapfuse",NA,NA
"117","TCGA-AB-2806-03A","ATP11C","MCF2","Soapfuse",NA,NA
"118","TCGA-AB-2806-03A","BTBD8","KIAA1107","Soapfuse",NA,NA
"119","TCGA-AB-2806-03A","C16orf53","MVP","Soapfuse",NA,NA
"120","TCGA-AB-2806-03A","DCTN1","SLC4A5","Soapfuse",NA,NA
"121","TCGA-AB-2806-03A","EVI2A","EVI2B","Soapfuse",NA,NA
"122","TCGA-AB-2806-03A","FAM117A","SLC35B1","Soapfuse",NA,NA
"123","TCGA-AB-2806-03A","GLYCTK","DNAH1","Soapfuse",NA,NA
"124","TCGA-AB-2806-03A","IL2RG","CXorf65","Soapfuse",NA,NA
"125","TCGA-AB-2806-03A","KIAA1267","ARL17A","Soapfuse",NA,NA
"126","TCGA-AB-2806-03A","KIAA1267","ARL17B","Soapfuse",NA,NA
"127","TCGA-AB-2806-03A","KLHL33","TEP1","Soapfuse",NA,NA
"128","TCGA-AB-2806-03A","LSM10","STK40","Soapfuse",NA,NA
"129","TCGA-AB-2806-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"130","TCGA-AB-2806-03A","NSUN4","FAAH","Soapfuse",NA,NA
"131","TCGA-AB-2806-03A","PRH1","PRR4","Soapfuse",NA,NA
"132","TCGA-AB-2806-03A","PRKAA1","TTC33","Soapfuse",NA,NA
"133","TCGA-AB-2806-03A","PRR13","PCBP2","Soapfuse",NA,NA
"134","TCGA-AB-2806-03A","RASSF8","ZBED1","Soapfuse",NA,NA
"135","TCGA-AB-2806-03A","RN28S1","HCG4P5","Soapfuse",NA,NA
"136","TCGA-AB-2806-03A","RRM2","C2orf48","Soapfuse",NA,NA
"137","TCGA-AB-2806-03A","RRN3P3","CDR2","Soapfuse",NA,NA
"138","TCGA-AB-2806-03A","S100Z","CRHBP","Soapfuse",NA,NA
"139","TCGA-AB-2806-03A","SMG5","PAQR6","Soapfuse",NA,NA
"140","TCGA-AB-2806-03A","STYXL1","TMEM120A","Soapfuse",NA,NA
"141","TCGA-AB-2806-03A","TAS2R14","PRH1","Soapfuse",NA,NA
"142","TCGA-AB-2806-03A","TAS2R14","PRR4","Soapfuse",NA,NA
"143","TCGA-AB-2806-03A","TEX12","BCO2","Soapfuse",NA,NA
"144","TCGA-AB-2806-03A","TGIF2","C20orf24","Soapfuse",NA,NA
"145","TCGA-AB-2806-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"146","TCGA-AB-2806-03A","TOMM5","FBXO10","Soapfuse",NA,NA
"147","TCGA-AB-2806-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"148","TCGA-AB-2814-03A","ADSL","SGSM3","Soapfuse",NA,NA
"149","TCGA-AB-2814-03A","BPTF","LRRC37A2","Soapfuse",NA,NA
"150","TCGA-AB-2814-03A","BPTF","LRRC37A3","Soapfuse",NA,NA
"151","TCGA-AB-2814-03A","CTBS","GNG5","Soapfuse",NA,NA
"152","TCGA-AB-2814-03A","HOXA4","HOXA3","Soapfuse",NA,NA
"153","TCGA-AB-2814-03A","KIAA1267","ARL17A","Soapfuse",NA,NA
"154","TCGA-AB-2814-03A","KIAA1267","ARL17B","Soapfuse",NA,NA
"155","TCGA-AB-2814-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"156","TCGA-AB-2814-03A","NSUN4","FAAH","Soapfuse",NA,NA
"157","TCGA-AB-2814-03A","PRR13","PCBP2","Soapfuse",NA,NA
"158","TCGA-AB-2814-03A","RPL14","FAM48B1","Soapfuse",NA,NA
"159","TCGA-AB-2814-03A","RPL30","NT5C2","Soapfuse",NA,NA
"160","TCGA-AB-2814-03A","RPLP1","STK4","Soapfuse",NA,NA
"161","TCGA-AB-2814-03A","RSPO1","RN28S1","Soapfuse",NA,NA
"162","TCGA-AB-2814-03A","TAS2R14","PRR4","Soapfuse",NA,NA
"163","TCGA-AB-2814-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"164","TCGA-AB-2814-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"165","TCGA-AB-2817-03A","ADSL","SGSM3","Soapfuse",NA,NA
"166","TCGA-AB-2817-03A","BPTF","LRRC37A2","Soapfuse",NA,NA
"167","TCGA-AB-2817-03A","BPTF","LRRC37A3","Soapfuse",NA,NA
"168","TCGA-AB-2817-03A","C20orf29","MAVS","Soapfuse",NA,NA
"169","TCGA-AB-2817-03A","DCTN1","SLC4A5","Soapfuse",NA,NA
"170","TCGA-AB-2817-03A","ECD","P4HA1","Soapfuse",NA,NA
"171","TCGA-AB-2817-03A","HACL1","COLQ","Soapfuse",NA,NA
"172","TCGA-AB-2817-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"173","TCGA-AB-2817-03A","NSUN4","FAAH","Soapfuse",NA,NA
"174","TCGA-AB-2817-03A","POLA2","CDC42EP2","Soapfuse",NA,NA
"175","TCGA-AB-2817-03A","RRM2","C2orf48","Soapfuse",NA,NA
"176","TCGA-AB-2817-03A","RUNDC2A","SNX29","Soapfuse",NA,NA
"177","TCGA-AB-2817-03A","SDHAF2","C11orf66","Soapfuse",NA,NA
"178","TCGA-AB-2817-03A","SIRPB1","SIRPD","Soapfuse",NA,NA
"179","TCGA-AB-2817-03A","SIRPB2","NSFL1C","Soapfuse",NA,NA
"180","TCGA-AB-2817-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"181","TCGA-AB-2817-03A","TPT1","RN28S1","Soapfuse",NA,NA
"182","TCGA-AB-2817-03A","TTTY15","USP9Y","Soapfuse",NA,NA
"183","TCGA-AB-2817-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"184","TCGA-AB-2817-03A","ZNF782","ZNF510","Soapfuse",NA,NA
"185","TCGA-AB-2819-03A","RPS19","LMOD3","Soapfuse",NA,NA
"186","TCGA-AB-2819-03A","ADSL","SGSM3","Soapfuse",NA,NA
"187","TCGA-AB-2819-03A","C16orf53","MVP","Soapfuse",NA,NA
"188","TCGA-AB-2819-03A","CTBS","GNG5","Soapfuse",NA,NA
"189","TCGA-AB-2819-03A","FAM117A","SLC35B1","Soapfuse",NA,NA
"190","TCGA-AB-2819-03A","GAPDH","RN28S1","Soapfuse",NA,NA
"191","TCGA-AB-2819-03A","IGHG1","IGHV4-34","Soapfuse",NA,NA
"192","TCGA-AB-2819-03A","NCRNA00189","BACH1","Soapfuse",NA,NA
"193","TCGA-AB-2819-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"194","TCGA-AB-2819-03A","PRIM1","NACA","Soapfuse",NA,NA
"195","TCGA-AB-2819-03A","RPS28","NT5C2","Soapfuse",NA,NA
"196","TCGA-AB-2819-03A","RRM2","C2orf48","Soapfuse",NA,NA
"197","TCGA-AB-2819-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"198","TCGA-AB-2819-03A","UBA52","ZNF302","Soapfuse",NA,NA
"199","TCGA-AB-2819-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"200","TCGA-AB-2819-03A","ZNF782","ZNF510","Soapfuse",NA,NA
"201","TCGA-AB-2823-03A","ADSL","SGSM3","Soapfuse",NA,NA
"202","TCGA-AB-2823-03A","BPTF","LRRC37A","Soapfuse",NA,NA
"203","TCGA-AB-2823-03A","C16orf53","MVP","Soapfuse",NA,NA
"204","TCGA-AB-2823-03A","CTSC","RAB38","Soapfuse",NA,NA
"205","TCGA-AB-2823-03A","EEF1DP3","FRY","Soapfuse",NA,NA
"206","TCGA-AB-2823-03A","FAM117A","SLC35B1","Soapfuse",NA,NA
"207","TCGA-AB-2823-03A","FUT4","PIWIL4","Soapfuse",NA,NA
"208","TCGA-AB-2823-03A","LMAN2","MXD3","Soapfuse",NA,NA
"209","TCGA-AB-2823-03A","MED8","ELOVL1","Soapfuse",NA,NA
"210","TCGA-AB-2823-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"211","TCGA-AB-2823-03A","RRN3P3","CDR2","Soapfuse",NA,NA
"212","TCGA-AB-2823-03A","TAS2R14","PRR4","Soapfuse",NA,NA
"213","TCGA-AB-2823-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"214","TCGA-AB-2823-03A","TRGJP1","TRGC1","Soapfuse",NA,NA
"215","TCGA-AB-2823-03A","TRIM58","OR2W3","Soapfuse",NA,NA
"216","TCGA-AB-2823-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"217","TCGA-AB-2823-03A","VIPAR","C14orf148","Soapfuse",NA,NA
"218","TCGA-AB-2832-03A","WIZ","AKAP8L","Soapfuse",NA,NA
"219","TCGA-AB-2832-03A","ADSL","SGSM3","Soapfuse",NA,NA
"220","TCGA-AB-2832-03A","BLOC1S1","RDH5","Soapfuse",NA,NA
"221","TCGA-AB-2832-03A","C16orf53","MVP","Soapfuse",NA,NA
"222","TCGA-AB-2832-03A","CNPY2","CS","Soapfuse",NA,NA
"223","TCGA-AB-2832-03A","COMMD3","BMI1","Soapfuse",NA,NA
"224","TCGA-AB-2832-03A","CTBS","GNG5","Soapfuse",NA,NA
"225","TCGA-AB-2832-03A","CTSS","HORMAD1","Soapfuse",NA,NA
"226","TCGA-AB-2832-03A","DNAJC4","VEGFB","Soapfuse",NA,NA
"227","TCGA-AB-2832-03A","EIF3K","ACTN4","Soapfuse",NA,NA
"228","TCGA-AB-2832-03A","FAM175A","HELQ","Soapfuse",NA,NA
"229","TCGA-AB-2832-03A","GAPDH","RPL23","Soapfuse",NA,NA
"230","TCGA-AB-2832-03A","GLYCTK","DNAH1","Soapfuse",NA,NA
"231","TCGA-AB-2832-03A","JAK3","INSL3","Soapfuse",NA,NA
"232","TCGA-AB-2832-03A","MLLT10","PPP2R1B","Soapfuse",NA,NA
"233","TCGA-AB-2832-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"234","TCGA-AB-2832-03A","RPL14","DACH1","Soapfuse",NA,NA
"235","TCGA-AB-2832-03A","RPL27","LAPTM5","Soapfuse",NA,NA
"236","TCGA-AB-2832-03A","RPLP1","RPS3","Soapfuse",NA,NA
"237","TCGA-AB-2832-03A","SLC39A1","CRTC2","Soapfuse",NA,NA
"238","TCGA-AB-2832-03A","SUGT1P","NOL6","Soapfuse",NA,NA
"239","TCGA-AB-2832-03A","TAS2R14","PRR4","Soapfuse",NA,NA
"240","TCGA-AB-2832-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"241","TCGA-AB-2832-03A","UBE2Q2","FBXO22","Soapfuse",NA,NA
"242","TCGA-AB-2832-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"243","TCGA-AB-2832-03A","WNT10B","ARF3","Soapfuse",NA,NA
"244","TCGA-AB-2834-03A","MPO","RN28S1","Soapfuse",NA,NA
"245","TCGA-AB-2834-03A","C19orf59","TRAPPC5","Soapfuse",NA,NA
"246","TCGA-AB-2834-03A","CTBS","GNG5","Soapfuse",NA,NA
"247","TCGA-AB-2834-03A","EAF2","SLC15A2","Soapfuse",NA,NA
"248","TCGA-AB-2834-03A","GDI2","KLF8","Soapfuse",NA,NA
"249","TCGA-AB-2834-03A","HARS2","ZMAT2","Soapfuse",NA,NA
"250","TCGA-AB-2834-03A","HOXA4","HOXA3","Soapfuse",NA,NA
"251","TCGA-AB-2834-03A","HOXA6","HOXA5","Soapfuse",NA,NA
"252","TCGA-AB-2834-03A","KIAA0101","CSNK1G1","Soapfuse",NA,NA
"253","TCGA-AB-2834-03A","KLHL33","TEP1","Soapfuse",NA,NA
"254","TCGA-AB-2834-03A","LRRC37B2","LYZ","Soapfuse",NA,NA
"255","TCGA-AB-2834-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"256","TCGA-AB-2834-03A","RN28S1","PABPC1","Soapfuse",NA,NA
"257","TCGA-AB-2834-03A","RN28S1","GNAS","Soapfuse",NA,NA
"258","TCGA-AB-2834-03A","RRM2","C2orf48","Soapfuse",NA,NA
"259","TCGA-AB-2834-03A","S100A9","FAM184B","Soapfuse",NA,NA
"260","TCGA-AB-2834-03A","TAS2R14","PRR4","Soapfuse",NA,NA
"261","TCGA-AB-2834-03A","TM7SF3","LYZ","Soapfuse",NA,NA
"262","TCGA-AB-2834-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"263","TCGA-AB-2834-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"264","TCGA-AB-2840-03A","ACTB","TK2","Soapfuse",NA,NA
"265","TCGA-AB-2840-03A","TMSB10","GPM6A","Soapfuse",NA,NA
"266","TCGA-AB-2840-03A","ADSL","SGSM3","Soapfuse",NA,NA
"267","TCGA-AB-2840-03A","ARMC5","TGFB1I1","Soapfuse",NA,NA
"268","TCGA-AB-2840-03A","CALR","GDF7","Soapfuse",NA,NA
"269","TCGA-AB-2840-03A","CALR","RN28S1","Soapfuse",NA,NA
"270","TCGA-AB-2840-03A","CTBS","GNG5","Soapfuse",NA,NA
"271","TCGA-AB-2840-03A","CTSLL2","BMS1P6","Soapfuse",NA,NA
"272","TCGA-AB-2840-03A","FAM119A","RN28S1","Soapfuse",NA,NA
"273","TCGA-AB-2840-03A","FARSA","SYCE2","Soapfuse",NA,NA
"274","TCGA-AB-2840-03A","MAPKAPK5","ACAD10","Soapfuse",NA,NA
"275","TCGA-AB-2840-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"276","TCGA-AB-2840-03A","PRH1","PRR4","Soapfuse",NA,NA
"277","TCGA-AB-2840-03A","RN18S1","EGR1","Soapfuse",NA,NA
"278","TCGA-AB-2840-03A","RRM2","C2orf48","Soapfuse",NA,NA
"279","TCGA-AB-2840-03A","SIRPB2","NSFL1C","Soapfuse",NA,NA
"280","TCGA-AB-2840-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"281","TCGA-AB-2840-03A","TPT1","PPP1CA","Soapfuse",NA,NA
"282","TCGA-AB-2842-03A","RPS24","GPR85","Soapfuse",NA,NA
"283","TCGA-AB-2842-03A","COMMD3","BMI1","Soapfuse",NA,NA
"284","TCGA-AB-2842-03A","CTBS","GNG5","Soapfuse",NA,NA
"285","TCGA-AB-2842-03A","FAM175A","HELQ","Soapfuse",NA,NA
"286","TCGA-AB-2842-03A","FUT4","PIWIL4","Soapfuse",NA,NA
"287","TCGA-AB-2842-03A","HAUS4","PRMT5","Soapfuse",NA,NA
"288","TCGA-AB-2842-03A","HOXA4","HOXA3","Soapfuse",NA,NA
"289","TCGA-AB-2842-03A","RRM2","C2orf48","Soapfuse",NA,NA
"290","TCGA-AB-2842-03A","SIRPB2","NSFL1C","Soapfuse",NA,NA
"291","TCGA-AB-2842-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"292","TCGA-AB-2842-03A","TRIM58","OR2W3","Soapfuse",NA,NA
"293","TCGA-AB-2844-03A","ADSL","SGSM3","Soapfuse",NA,NA
"294","TCGA-AB-2844-03A","CTBS","GNG5","Soapfuse",NA,NA
"295","TCGA-AB-2844-03A","EAF2","SLC15A2","Soapfuse",NA,NA
"296","TCGA-AB-2844-03A","FAM117A","SLC35B1","Soapfuse",NA,NA
"297","TCGA-AB-2844-03A","FUT4","PIWIL4","Soapfuse",NA,NA
"298","TCGA-AB-2844-03A","GLYCTK","DNAH1","Soapfuse",NA,NA
"299","TCGA-AB-2844-03A","HACL1","COLQ","Soapfuse",NA,NA
"300","TCGA-AB-2844-03A","HARS2","ZMAT2","Soapfuse",NA,NA
"301","TCGA-AB-2844-03A","HAUS4","PRMT5","Soapfuse",NA,NA
"302","TCGA-AB-2844-03A","HNRNPUL2","BSCL2","Soapfuse",NA,NA
"303","TCGA-AB-2844-03A","HOXA4","HOXA3","Soapfuse",NA,NA
"304","TCGA-AB-2844-03A","KIAA1267","ARL17A","Soapfuse",NA,NA
"305","TCGA-AB-2844-03A","KIAA1267","ARL17B","Soapfuse",NA,NA
"306","TCGA-AB-2844-03A","LYZ","SAMHD1","Soapfuse",NA,NA
"307","TCGA-AB-2844-03A","MARCH2","HNRNPM","Soapfuse",NA,NA
"308","TCGA-AB-2844-03A","NDUFB8","SEC31B","Soapfuse",NA,NA
"309","TCGA-AB-2844-03A","NOC4L","FBRSL1","Soapfuse",NA,NA
"310","TCGA-AB-2844-03A","PRR13","PCBP2","Soapfuse",NA,NA
"311","TCGA-AB-2844-03A","RRM2","C2orf48","Soapfuse",NA,NA
"312","TCGA-AB-2844-03A","RRN3P3","CDR2","Soapfuse",NA,NA
"313","TCGA-AB-2844-03A","SDHAF2","C11orf66","Soapfuse",NA,NA
"314","TCGA-AB-2844-03A","SIRPB2","NSFL1C","Soapfuse",NA,NA
"315","TCGA-AB-2844-03A","SLC2A5","TRBV6-5","Soapfuse",NA,NA
"316","TCGA-AB-2844-03A","STX16","NPEPL1","Soapfuse",NA,NA
"317","TCGA-AB-2844-03A","TASP1","PDCD6IP","Soapfuse",NA,NA
"318","TCGA-AB-2844-03A","TNFAIP8L2","SCNM1","Soapfuse",NA,NA
"319","TCGA-AB-2844-03A","TRGJP1","TRGC1","Soapfuse",NA,NA
"320","TCGA-AB-2844-03A","TTTY15","USP9Y","Soapfuse",NA,NA
"321","TCGA-AB-2844-03A","VAMP8","VAMP5","Soapfuse",NA,NA
"322","TCGA-AB-2848-03A","HSH2D","CD3EAP","Soapfuse",NA,NA
"323","TCGA-AB-2848-03A","ACAD10","ALDH2","Soapfuse",NA,NA
"324","TCGA-AB-2848-03A","BANP","RUNDC2B","Soapfuse",NA,NA
"325","TCGA-AB-2848-03A","BCL2L2","PABPN1","Soapfuse",NA,NA
